1ST CHOICE MAYOR MINNEAPOLIS,2ND CHOICE MAYOR MINNEAPOLIS,3RD CHOICE MAYOR MINNEAPOLIS
MIKE GOULD,BETSY HODGES,JACKIE CHERRYHOMES
BETSY HODGES,MARK ANDREW,JACKIE CHERRYHOMES
BETSY HODGES,DON SAMUELS,JACKIE CHERRYHOMES
CAM WINTON,undervote,undervote
DAN COHEN,DOUG MANN,STEPHANIE WOODRUFF
BETSY HODGES,DON SAMUELS,JACKIE CHERRYHOMES
DAN COHEN,undervote,undervote
DON SAMUELS,MARK ANDREW,BOB FINE
BETSY HODGES,JAMES EVERETT,STEPHANIE WOODRUFF
JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES
BETSY HODGES,BOB FINE,MARK ANDREW
MARK ANDREW,BETSY HODGES,DAN COHEN
BOB FINE,GREGG A. IVERSON,JACKIE CHERRYHOMES
BETSY HODGES,STEPHANIE WOODRUFF,CAM WINTON
CAM WINTON,BOB FINE,BETSY HODGES
MARK ANDREW,undervote,undervote
BETSY HODGES,JACKIE CHERRYHOMES,MARK ANDREW
DON SAMUELS,BOB FINE,"BOB ""AGAIN"" CARNEY JR"
MARK ANDREW,BETSY HODGES,DON SAMUELS
MARK ANDREW,BETSY HODGES,undervote
DON SAMUELS,BETSY HODGES,MARK ANDREW
CAM WINTON,STEPHANIE WOODRUFF,undervote
MARK ANDREW,BETSY HODGES,CAM WINTON
MARK ANDREW,NEAL BAXTER,TROY BENJEGERDES
MARK ANDREW,CAM WINTON,BETSY HODGES
CAM WINTON,undervote,undervote
CAM WINTON,DAN COHEN,DON SAMUELS
MARK ANDREW,DON SAMUELS,BETSY HODGES
BETSY HODGES,undervote,undervote
MARK ANDREW,undervote,undervote
DAN COHEN,MARK ANDREW,DON SAMUELS
CAM WINTON,DON SAMUELS,BETSY HODGES
BETSY HODGES,DON SAMUELS,MARK ANDREW
JAMES EVERETT,DOUG MANN,BETSY HODGES
BETSY HODGES,DON SAMUELS,CAM WINTON
DON SAMUELS,CAM WINTON,BETSY HODGES
BETSY HODGES,MARK ANDREW,DOUG MANN
BETSY HODGES,MARK ANDREW,MARK V ANDERSON
BETSY HODGES,undervote,undervote
DOUG MANN,DON SAMUELS,BETSY HODGES
BETSY HODGES,undervote,undervote
BETSY HODGES,BOB FINE,MARK ANDREW
MARK ANDREW,DON SAMUELS,BOB FINE
MARK ANDREW,undervote,undervote
MARK ANDREW,BETSY HODGES,undervote
BETSY HODGES,undervote,undervote
MARK ANDREW,BETSY HODGES,DON SAMUELS
BETSY HODGES,JACKIE CHERRYHOMES,DON SAMUELS
BETSY HODGES,DON SAMUELS,MARK ANDREW
BETSY HODGES,undervote,undervote
JACKIE CHERRYHOMES,DON SAMUELS,undervote
JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES
MARK ANDREW,BETSY HODGES,BOB FINE
BETSY HODGES,CAM WINTON,undervote
MARK ANDREW,BETSY HODGES,DON SAMUELS
CAM WINTON,DON SAMUELS,STEPHANIE WOODRUFF
OLE SAVIOR,NEAL BAXTER,JOHN LESLIE HARTWIG
MARK ANDREW,BOB FINE,BETSY HODGES
MARK ANDREW,BETSY HODGES,STEPHANIE WOODRUFF
BETSY HODGES,MARK ANDREW,ALICIA K. BENNETT
DON SAMUELS,BETSY HODGES,JACKIE CHERRYHOMES
BETSY HODGES,DAN COHEN,TONY LANE
DON SAMUELS,BETSY HODGES,JACKIE CHERRYHOMES
JOSHUA REA,JAYMIE KELLY,BETSY HODGES
MARK ANDREW,undervote,undervote
BETSY HODGES,STEPHANIE WOODRUFF,GREGG A. IVERSON
MARK ANDREW,JACKIE CHERRYHOMES,DON SAMUELS
CAM WINTON,BOB FINE,BETSY HODGES
BETSY HODGES,MARK ANDREW,JACKIE CHERRYHOMES
undervote,undervote,undervote
